date,idx
2019-09-25,141.91
2019-09-26,141.46
2019-09-27,139.97
2019-10-01,140.59
2019-10-02,141.1
2019-10-03,141.19
2019-10-04,141.06
2019-10-07,141.33
2019-10-08,140.73
2019-10-09,139.97
2019-10-14,141.37
2019-10-15,141.57
2019-10-16,141.27
2019-10-17,142.36
2019-10-18,142.81
2019-10-21,143.24
2019-10-22,143.56
2019-10-23,143.27
2019-10-24,144.43
2019-10-25,144.12
2019-10-28,145.32
2019-10-29,144.38
2019-10-30,145.06
2019-10-31,144.23
2019-11-01,145.12
2019-11-04,145.99
2019-11-05,146.97
2019-11-06,146.08
2019-11-07,144.55
2019-11-08,144.42
2019-11-11,141.97
2019-11-12,143.03
2019-11-13,143.1
2019-11-14,142.4
2019-11-15,143.37
2019-11-18,143.91
2019-11-19,143.78
2019-11-20,142.27
2019-11-21,143.07
2019-11-22,143.57
2019-11-25,143.9
2019-11-26,144.97
2019-11-27,145.44
2019-11-28,145.61
2019-11-29,144.43
2019-12-02,143.63
2019-12-03,144.13
2019-12-04,144.47
2019-12-05,146.11
2019-12-06,146.42
2019-12-09,146.62
2019-12-10,146.59
2019-12-11,146.78
2019-12-12,146.98
2019-12-13,146.25
2019-12-16,147.22
2019-12-17,147.79
2019-12-18,147.56
2019-12-19,147.07
2019-12-20,146.92
2019-12-23,147.05
2019-12-24,147.38
2019-12-25,148.46
2019-12-26,148.75
2019-12-27,149.24
2019-12-30,149.33
2019-12-31,149.36
2020-01-02,150.91
2020-01-03,148.94
2020-01-06,147.25
2020-01-07,146.29
2020-01-08,144.91
2020-01-09,146.57
2020-01-10,146.69
2020-01-13,148.27
2020-01-14,149.62
2020-01-15,149.54
2020-01-16,149.94
2020-01-17,149.87
2020-01-20,150.37
2020-01-30,141.01
2020-01-31,141.77
2020-02-03,139.06
2020-02-04,141.89
2020-02-05,142.39
2020-02-06,144.31
2020-02-07,142.57
2020-02-10,141.6
2020-02-11,143.6
2020-02-12,145.49
2020-02-13,145.52
2020-02-14,147.26
2020-02-17,146.74
2020-02-18,145.66
2020-02-19,147.29
2020-02-20,147.91
2020-02-21,147.82
2020-02-24,146.56
2020-02-25,146.48
2020-02-26,145.3
2020-02-27,141.96
2020-03-02,141.44
2020-03-03,143.4
2020-03-04,142.68
2020-03-05,145.18
2020-03-06,144.26
2020-03-09,139.06
2020-03-10,139.0
2020-03-11,136.88
2020-03-12,128.92
2020-03-13,123.44
2020-03-16,118.28
2020-03-17,113.3
2020-03-18,111.66
2020-03-19,103.25
2020-03-20,109.53
2020-03-23,106.46
2020-03-24,111.16
2020-03-25,115.43
2020-03-26,117.36
2020-03-27,117.26
2020-03-30,117.47
2020-03-31,117.83
2020-04-01,118.6
2020-04-06,120.76
2020-04-07,123.12
2020-04-08,125.68
2020-04-09,125.31
2020-04-10,126.36
2020-04-13,126.06
2020-04-14,128.55
2020-04-15,130.16
2020-04-16,130.67
2020-04-17,130.75
2020-04-20,131.77
2020-04-21,128.73
2020-04-22,129.9
2020-04-23,131.08
2020-04-24,131.36
2020-04-27,133.12
2020-04-28,134.0
2020-04-29,135.54
2020-04-30,137.7
2020-05-04,137.06
2020-05-05,138.41
2020-05-06,138.68
2020-05-07,140.8
2020-05-08,141.05
2020-05-11,141.8
2020-05-12,141.43
2020-05-13,142.91
2020-05-14,140.65
2020-05-15,141.64
2020-05-18,140.97
2020-05-19,142.64
2020-05-20,143.3
2020-05-21,145.09
2020-05-22,144.15
2020-05-25,146.61
2020-05-26,146.81
2020-05-27,146.79
2020-05-28,146.53
2020-05-29,147.38
2020-06-01,149.34
2020-06-02,149.05
2020-06-03,151.03
2020-06-04,152.06
2020-06-05,153.39
2020-06-08,154.62
2020-06-09,154.56
2020-06-10,155.76
2020-06-11,152.42
2020-06-12,151.86
2020-06-15,151.41
2020-06-16,154.57
2020-06-17,155.75
2020-06-18,158.12
2020-06-19,158.91
2020-06-22,159.95
2020-06-23,159.29
2020-06-24,159.63
2020-06-29,158.89
2020-06-30,160.06
2020-07-01,162.3
2020-07-02,165.15
2020-07-03,166.5
2020-07-06,170.68
2020-07-07,170.29
2020-07-08,173.95
2020-07-09,175.94
2020-07-10,171.9
2020-07-13,172.84
2020-07-14,170.04
2020-07-15,167.86
2020-07-16,166.8
2020-07-17,162.85
2020-07-20,162.25
2020-07-21,163.7
2020-07-22,166.42
2020-07-23,166.21
2020-07-24,162.36
2020-07-27,160.64
2020-07-28,157.77
2020-07-29,159.61
2020-07-30,161.73
2020-07-31,163.21
2020-08-03,163.25
2020-08-04,164.98
2020-08-05,166.98
2020-08-06,166.11
2020-08-07,165.3
2020-08-10,164.24
2020-08-11,162.56
2020-08-12,162.91
2020-08-13,162.62
2020-08-14,164.05
2020-08-17,165.0
2020-08-18,164.54
2020-08-19,164.31
2020-08-20,156.73
2020-08-21,160.36
2020-08-24,161.86
2020-08-25,163.57
2020-08-26,165.63
2020-08-27,165.81
2020-08-28,165.86
2020-08-31,166.03
2020-09-01,166.35
2020-09-02,167.59
2020-09-03,167.33
2020-09-04,166.53
2020-09-07,164.17
2020-09-08,165.51
2020-09-09,165.5
2020-09-10,165.11
2020-09-11,164.17
2020-09-14,165.75
2020-09-15,166.65
2020-09-16,167.55
2020-09-17,167.64
2020-09-18,168.91
2020-09-21,167.36
2020-09-22,165.1
2020-09-23,165.16
2020-09-24,161.81
2020-09-25,158.6
2020-09-28,160.83
2020-09-29,160.52
2020-09-30,162.05
2020-10-05,162.83
2020-10-06,164.42
2020-10-07,164.21
2020-10-08,164.96
2020-10-12,164.67
2020-10-13,165.29
2020-10-14,165.8
2020-10-15,165.91
2020-10-16,164.75
2020-10-19,165.23
2020-10-20,165.65
2020-10-21,166.03
2020-10-22,165.57
2020-10-23,166.04
2020-10-26,164.31
2020-10-27,164.98
2020-10-28,163.79
2020-10-29,163.1
2020-10-30,161.93
2020-11-02,161.25
2020-11-03,162.65
2020-11-04,164.29
2020-11-05,165.23
2020-11-06,165.81
2020-11-09,168.13
