date,idx
2015-05-29,187.08
2015-06-01,187.45
2015-06-02,186.98
2015-06-03,184.95
2015-06-04,179.8
2015-06-05,179.76
2015-06-08,179.1
2015-06-09,172.0
2015-06-10,175.63
2015-06-11,175.97
2015-06-12,176.65
2015-06-15,176.84
2015-06-16,175.41
2015-06-17,176.27
2015-06-18,178.06
2015-06-22,179.2
2015-06-23,179.51
2015-06-24,180.2
2015-06-25,181.0
2015-06-26,180.24
2015-06-29,176.34
2015-06-30,177.53
2015-07-01,179.6
2015-07-02,180.13
2015-07-03,179.99
2015-07-06,177.22
2015-07-07,177.57
2015-07-08,170.08
2015-07-09,169.38
2015-07-13,172.36
2015-07-14,172.21
2015-07-15,171.88
2015-07-16,171.69
2015-07-17,171.05
2015-07-20,169.13
2015-07-21,167.75
2015-07-22,165.77
2015-07-23,162.5
2015-07-24,161.73
2015-07-27,153.73
2015-07-28,156.03
2015-07-29,156.44
2015-07-30,158.3
2015-07-31,157.97
2015-08-03,154.17
2015-08-04,148.79
2015-08-05,150.75
2015-08-06,148.6
2015-08-07,149.99
2015-08-10,154.34
2015-08-11,153.5
2015-08-12,153.02
2015-08-13,153.98
2015-08-14,154.0
2015-08-17,151.33
2015-08-18,150.68
2015-08-19,147.41
2015-08-20,148.43
2015-08-21,143.29
2015-08-24,133.51
2015-08-25,135.8
2015-08-26,138.0
2015-08-27,141.29
2015-08-28,144.04
2015-08-31,144.88
2015-09-01,145.54
2015-09-02,146.49
2015-09-03,148.48
2015-09-04,146.39
2015-09-07,147.39
2015-09-08,148.62
2015-09-09,151.93
2015-09-10,153.51
2015-09-11,154.75
2015-09-14,155.82
2015-09-15,155.08
2015-09-16,157.24
2015-09-17,158.47
2015-09-18,160.75
2015-09-21,158.9
2015-09-22,160.97
2015-09-23,158.05
2015-09-24,155.1
2015-09-25,156.88
2015-09-30,157.96
2015-10-01,160.54
2015-10-02,160.91
2015-10-05,163.41
2015-10-06,162.3
2015-10-07,164.29
2015-10-08,161.71
2015-10-12,162.81
2015-10-13,163.72
2015-10-14,163.85
2015-10-15,163.92
2015-10-16,164.42
2015-10-19,164.48
2015-10-20,166.54
2015-10-21,166.06
2015-10-22,166.68
2015-10-23,167.06
2015-10-26,168.93
2015-10-27,168.59
2015-10-28,168.78
2015-10-29,167.79
2015-10-30,167.76
2015-11-02,169.4
2015-11-03,171.53
2015-11-04,173.57
2015-11-05,174.19
2015-11-06,172.32
2015-11-09,169.56
2015-11-10,169.64
2015-11-11,166.68
2015-11-12,167.68
2015-11-13,166.49
2015-11-16,166.6
2015-11-17,168.63
2015-11-18,169.46
2015-11-19,171.37
2015-11-20,172.03
2015-11-23,172.41
2015-11-24,170.26
2015-11-25,170.71
2015-11-26,173.17
2015-11-27,172.52
2015-11-30,171.77
2015-12-01,175.73
2015-12-02,176.22
2015-12-03,175.49
2015-12-04,176.67
2015-12-07,178.84
2015-12-08,176.66
2015-12-09,172.17
2015-12-10,173.18
2015-12-11,168.37
2015-12-14,166.84
2015-12-15,170.8
2015-12-16,172.59
2015-12-17,175.53
2015-12-18,175.17
2015-12-21,175.51
2015-12-22,175.01
2015-12-23,173.6
2015-12-24,171.92
2015-12-25,173.32
2015-12-28,172.72
2015-12-29,172.19
2015-12-30,172.62
2015-12-31,173.44
2016-01-04,170.11
2016-01-05,169.61
2016-01-06,167.75
2016-01-07,162.77
2016-01-08,165.99
2016-01-11,162.36
2016-01-12,157.53
2016-01-13,159.9
2016-01-14,157.36
2016-01-15,158.16
2016-01-18,161.89
2016-01-19,163.85
2016-01-20,158.89
2016-01-21,158.36
2016-01-22,158.38
2016-01-25,161.11
2016-01-26,161.08
2016-01-27,160.74
2016-01-28,162.22
2016-01-29,164.92
2016-01-30,168.03
2016-02-01,167.07
2016-02-02,167.35
2016-02-03,166.27
2016-02-15,166.8
2016-02-16,168.6
2016-02-17,169.62
2016-02-18,172.94
2016-02-19,173.2
2016-02-22,172.44
2016-02-23,172.94
2016-02-24,170.6
2016-02-25,169.93
2016-02-26,171.32
2016-03-01,173.24
2016-03-02,173.86
2016-03-03,173.36
2016-03-04,174.69
2016-03-07,174.25
2016-03-08,174.52
2016-03-09,174.71
2016-03-10,175.29
2016-03-11,176.71
2016-03-14,178.6
2016-03-15,174.92
2016-03-16,177.1
2016-03-17,175.51
2016-03-18,176.84
2016-03-21,178.63
2016-03-22,177.69
2016-03-23,176.01
2016-03-24,174.92
2016-03-25,174.78
2016-03-28,173.47
2016-03-29,170.12
2016-03-30,173.32
2016-03-31,174.33
2016-04-01,174.47
2016-04-06,173.44
2016-04-07,172.98
2016-04-08,174.09
2016-04-11,173.51
2016-04-12,170.05
2016-04-13,172.21
2016-04-14,172.54
2016-04-15,172.51
2016-04-18,172.63
2016-04-19,172.8
2016-04-20,171.26
2016-04-21,172.03
2016-04-22,169.27
2016-04-25,169.47
2016-04-26,170.61
2016-04-27,169.49
2016-04-28,168.93
2016-04-29,167.65
2016-05-03,166.66
2016-05-04,165.27
2016-05-05,165.98
2016-05-06,164.47
2016-05-09,162.3
2016-05-10,162.95
2016-05-11,162.21
2016-05-12,158.83
2016-05-13,159.45
2016-05-16,160.71
2016-05-17,163.57
2016-05-18,164.38
2016-05-19,162.96
2016-05-20,163.84
2016-05-23,167.2
2016-05-24,167.16
2016-05-25,168.62
2016-05-26,169.32
2016-05-27,170.31
2016-05-30,172.89
2016-05-31,173.64
2016-06-01,174.16
2016-06-02,171.98
2016-06-03,172.16
2016-06-04,172.47
2016-06-06,170.97
2016-06-07,171.43
2016-06-08,170.96
2016-06-13,169.02
2016-06-14,170.24
2016-06-15,171.06
2016-06-16,170.67
2016-06-17,171.76
2016-06-20,172.82
2016-06-21,173.43
2016-06-22,173.65
2016-06-23,173.21
2016-06-24,168.2
2016-06-27,169.37
2016-06-28,170.76
2016-06-29,172.01
2016-06-30,173.3
2016-07-01,173.52
2016-07-04,173.9
2016-07-05,174.4
2016-07-06,172.29
2016-07-07,172.98
2016-07-11,173.73
2016-07-12,174.61
2016-07-13,175.33
2016-07-14,175.84
2016-07-15,177.41
2016-07-18,178.77
2016-07-19,178.66
2016-07-20,178.01
2016-07-21,179.09
2016-07-22,178.9
2016-07-25,178.16
2016-07-26,179.16
2016-07-27,178.76
2016-07-28,178.58
2016-07-29,178.79
2016-08-01,180.15
2016-08-02,180.61
2016-08-03,180.17
2016-08-04,180.88
2016-08-05,181.76
2016-08-08,181.29
2016-08-09,179.24
2016-08-10,179.59
2016-08-11,178.97
2016-08-12,179.47
2016-08-15,179.57
2016-08-16,179.8
2016-08-17,178.27
2016-08-18,179.53
2016-08-19,178.97
2016-08-22,177.42
2016-08-23,178.88
2016-08-24,178.77
2016-08-25,179.79
2016-08-26,179.43
2016-08-29,179.39
2016-08-30,179.92
2016-08-31,180.09
2016-09-01,179.65
2016-09-02,177.05
2016-09-05,178.39
2016-09-06,179.48
2016-09-07,181.45
2016-09-08,182.32
2016-09-09,182.03
2016-09-10,179.72
2016-09-12,178.91
2016-09-13,177.6
2016-09-14,177.77
2016-09-19,179.52
2016-09-20,179.8
2016-09-21,180.79
2016-09-22,180.98
2016-09-23,182.17
2016-09-26,181.26
2016-09-29,181.12
2016-09-30,180.78
2016-10-03,181.87
2016-10-04,182.16
2016-10-05,181.63
2016-10-06,182.15
2016-10-07,181.02
2016-10-11,177.1
2016-10-12,177.26
2016-10-13,176.1
2016-10-14,173.05
2016-10-17,174.06
2016-10-18,174.84
2016-10-19,175.76
2016-10-20,176.21
2016-10-21,176.26
2016-10-24,175.97
2016-10-25,176.57
2016-10-26,176.64
2016-10-27,176.45
2016-10-28,175.14
2016-10-31,174.66
2016-11-01,174.38
2016-11-02,170.21
2016-11-03,168.32
2016-11-04,168.17
2016-11-07,168.62
2016-11-08,168.41
2016-11-09,162.3
2016-11-10,168.04
2016-11-11,166.15
2016-11-14,165.29
2016-11-15,165.4
2016-11-16,165.75
2016-11-17,165.68
2016-11-18,167.11
2016-11-21,167.65
2016-11-22,168.84
2016-11-23,168.92
2016-11-24,168.75
2016-11-25,169.06
2016-11-28,169.53
2016-11-29,169.72
2016-11-30,169.94
2016-12-01,169.78
2016-12-02,168.83
2016-12-05,169.31
2016-12-06,170.14
2016-12-07,170.54
2016-12-08,171.55
2016-12-09,171.83
2016-12-12,170.5
2016-12-13,170.9
2016-12-14,171.8
2016-12-15,171.8
2016-12-16,172.53
2016-12-19,171.16
2016-12-20,171.02
2016-12-21,170.78
2016-12-22,170.43
2016-12-23,170.04
2016-12-26,170.04
2016-12-27,170.59
2016-12-28,171.66
2016-12-29,172.28
2016-12-30,173.11
2017-01-03,173.23
2017-01-04,173.92
2017-01-05,174.94
2017-01-06,175.09
2017-01-09,173.69
2017-01-10,173.23
2017-01-11,172.29
2017-01-12,172.88
2017-01-13,172.62
2017-01-16,171.5
2017-01-17,172.19
2017-01-18,173.26
2017-01-19,173.41
2017-01-20,173.08
2017-01-23,174.21
2017-01-24,174.26
2017-02-02,175.4
2017-02-03,177.11
2017-02-06,178.61
2017-02-07,179.22
2017-02-08,180.49
2017-02-09,181.59
2017-02-10,180.89
2017-02-13,181.97
2017-02-14,181.37
2017-02-15,182.2
2017-02-16,182.91
2017-02-17,184.58
2017-02-18,186.72
2017-02-20,185.42
2017-02-21,185.03
2017-02-22,186.12
2017-02-23,186.26
2017-02-24,186.39
2017-03-01,185.4
2017-03-02,184.97
2017-03-03,185.59
2017-03-06,186.91
2017-03-07,187.89
2017-03-08,187.58
2017-03-09,186.36
2017-03-10,185.34
2017-03-13,186.72
2017-03-14,187.63
2017-03-15,187.46
2017-03-16,188.26
2017-03-17,190.32
2017-03-20,190.43
2017-03-21,189.64
2017-03-22,190.32
2017-03-23,190.38
2017-03-24,189.82
2017-03-27,187.94
2017-03-28,185.58
2017-03-29,186.52
2017-03-30,187.13
2017-03-31,186.91
2017-04-05,188.58
2017-04-06,188.53
2017-04-07,188.86
2017-04-10,188.91
2017-04-11,185.93
2017-04-12,185.23
2017-04-13,184.18
2017-04-14,179.95
2017-04-17,179.77
2017-04-18,182.04
2017-04-19,181.75
2017-04-20,180.72
2017-04-21,181.64
2017-04-24,179.89
2017-04-25,181.84
2017-04-26,182.93
2017-04-27,183.49
2017-04-28,183.98
2017-05-02,184.07
2017-05-03,183.33
2017-05-04,184.34
2017-05-05,182.9
2017-05-08,182.33
2017-05-09,179.37
2017-05-10,181.43
2017-05-11,181.59
2017-05-12,182.19
2017-05-15,183.84
2017-05-16,183.13
2017-05-17,183.1
2017-05-18,182.78
2017-05-19,183.29
2017-05-22,183.83
2017-05-23,184.34
2017-05-24,185.72
2017-05-25,186.56
2017-05-26,186.37
2017-05-31,186.45
2017-06-01,187.0
2017-06-02,188.47
2017-06-03,190.0
2017-06-05,191.24
2017-06-06,191.01
2017-06-07,190.75
2017-06-08,191.35
2017-06-09,190.39
2017-06-12,189.44
2017-06-13,188.61
2017-06-14,185.81
2017-06-15,185.96
2017-06-16,186.59
2017-06-19,187.55
2017-06-20,187.28
2017-06-21,187.83
2017-06-22,189.23
2017-06-23,188.62
2017-06-26,189.94
2017-06-27,189.83
2017-06-28,188.63
2017-06-29,188.12
2017-06-30,188.15
2017-07-03,187.9
2017-07-04,187.65
2017-07-05,187.71
2017-07-06,188.38
2017-07-07,187.34
2017-07-10,187.04
2017-07-11,187.28
2017-07-12,188.79
2017-07-13,189.78
2017-07-14,191.37
2017-07-17,191.92
2017-07-18,193.52
2017-07-19,193.47
2017-07-20,194.01
2017-07-21,194.69
2017-07-24,194.74
2017-07-25,195.83
2017-07-26,197.0
2017-07-27,197.74
2017-07-28,195.94
2017-07-31,196.41
2017-08-01,196.63
2017-08-02,197.33
2017-08-03,196.88
2017-08-04,197.04
2017-08-07,198.6
2017-08-08,197.53
2017-08-09,194.78
2017-08-10,190.62
2017-08-11,190.57
2017-08-14,185.83
2017-08-15,188.39
2017-08-16,189.43
2017-08-17,191.85
2017-08-18,191.69
2017-08-21,192.6
2017-08-22,193.29
2017-08-23,193.82
2017-08-24,195.19
2017-08-25,196.0
2017-08-28,196.83
2017-08-29,196.81
2017-08-30,197.51
2017-08-31,198.94
2017-09-01,200.18
2017-09-04,199.4
2017-09-05,201.92
2017-09-06,201.43
2017-09-07,199.94
2017-09-08,201.98
2017-09-11,201.37
2017-09-12,201.85
2017-09-13,201.07
2017-09-14,203.21
2017-09-15,203.1
2017-09-18,204.16
2017-09-19,202.82
2017-09-20,202.24
2017-09-21,204.63
2017-09-22,202.34
2017-09-25,199.24
2017-09-26,195.55
2017-09-27,198.38
2017-09-28,198.55
2017-09-29,197.44
2017-09-30,199.9
2017-10-02,202.24
2017-10-03,202.49
2017-10-05,203.99
2017-10-06,203.55
2017-10-11,202.99
2017-10-12,205.15
2017-10-13,205.35
2017-10-16,205.88
2017-10-17,204.63
2017-10-18,203.97
2017-10-19,206.25
2017-10-20,206.11
2017-10-23,206.63
2017-10-24,207.91
2017-10-25,207.19
2017-10-26,207.97
2017-10-27,204.5
2017-10-30,204.75
2017-10-31,206.95
2017-11-01,208.11
2017-11-02,208.52
2017-11-03,208.02
2017-11-06,208.24
2017-11-07,208.78
2017-11-08,209.92
2017-11-09,207.72
2017-11-10,209.85
2017-11-13,208.82
2017-11-14,208.04
2017-11-15,208.81
2017-11-16,209.1
2017-11-17,210.7
2017-11-20,210.76
2017-11-21,213.81
2017-11-22,213.32
2017-11-23,213.86
2017-11-24,213.84
2017-11-27,213.23
2017-11-28,213.83
2017-11-29,215.39
2017-11-30,213.99
2017-12-01,211.41
2017-12-04,211.52
2017-12-05,207.87
2017-12-06,204.15
2017-12-07,202.28
2017-12-08,205.61
2017-12-11,208.47
2017-12-12,208.09
2017-12-13,208.58
2017-12-14,208.24
2017-12-15,207.59
2017-12-18,207.95
2017-12-19,207.34
2017-12-20,209.21
2017-12-21,209.67
2017-12-22,210.26
2017-12-25,210.3
2017-12-26,206.72
2017-12-27,207.95
2017-12-28,210.72
2017-12-29,211.47
2018-01-02,212.41
2018-01-03,215.25
2018-01-04,216.81
2018-01-05,217.1
2018-01-08,216.59
2018-01-09,215.23
2018-01-10,213.48
2018-01-11,213.57
2018-01-12,214.44
2018-01-15,216.15
2018-01-16,217.09
2018-01-17,216.94
2018-01-18,217.88
2018-01-19,217.85
2018-01-22,220.38
2018-01-23,219.14
2018-01-24,219.59
2018-01-25,217.65
2018-01-26,217.65
2018-01-29,219.02
2018-01-30,217.14
2018-01-31,218.06
2018-02-01,217.66
2018-02-02,217.21
2018-02-05,214.55
2018-02-06,200.86
2018-02-07,205.56
2018-02-08,203.77
2018-02-09,201.57
2018-02-12,201.93
2018-02-21,207.73
2018-02-22,208.57
2018-02-23,210.18
2018-02-26,211.53
2018-02-27,211.24
2018-03-01,211.75
2018-03-02,210.43
2018-03-05,208.86
2018-03-06,211.61
2018-03-07,212.16
2018-03-08,213.96
2018-03-09,214.55
2018-03-12,216.76
2018-03-13,218.32
2018-03-14,218.53
2018-03-15,219.65
2018-03-16,219.69
2018-03-19,220.03
2018-03-20,219.93
2018-03-21,220.47
2018-03-22,218.54
2018-03-23,214.46
2018-03-26,216.83
2018-03-27,219.22
2018-03-28,218.0
2018-03-29,219.49
2018-03-30,220.17
2018-03-31,220.77
2018-04-02,220.2
2018-04-03,219.87
2018-04-09,220.19
2018-04-10,218.44
2018-04-11,219.69
2018-04-12,220.4
2018-04-13,221.09
2018-04-16,222.12
2018-04-17,217.76
2018-04-18,219.25
2018-04-19,220.97
2018-04-20,219.25
2018-04-23,217.55
2018-04-24,211.14
2018-04-25,211.98
2018-04-26,207.78
2018-04-27,209.98
2018-04-30,211.81
2018-05-02,213.37
2018-05-03,212.08
2018-05-04,210.49
2018-05-07,211.67
2018-05-08,212.15
2018-05-09,212.39
2018-05-10,214.61
2018-05-11,214.86
2018-05-14,218.54
2018-05-15,217.24
2018-05-16,217.37
2018-05-17,216.33
2018-05-18,216.47
2018-05-21,218.03
2018-05-22,217.33
2018-05-23,217.01
2018-05-24,218.58
2018-05-25,219.6
2018-05-28,221.16
2018-05-29,221.0
2018-05-30,221.13
2018-05-31,222.13
2018-06-01,222.92
2018-06-04,225.07
2018-06-05,224.1
2018-06-06,226.53
2018-06-07,226.21
2018-06-08,224.67
2018-06-11,225.7
2018-06-12,226.47
2018-06-13,224.88
2018-06-14,224.56
2018-06-15,224.57
2018-06-19,220.87
2018-06-20,219.04
2018-06-21,221.91
2018-06-22,219.78
2018-06-25,219.33
2018-06-26,219.14
2018-06-27,219.62
2018-06-28,217.47
2018-06-29,219.58
2018-07-02,218.82
2018-07-03,216.0
2018-07-04,213.98
2018-07-05,210.5
2018-07-06,211.31
2018-07-09,212.81
2018-07-10,215.29
2018-07-11,214.33
2018-07-12,216.69
2018-07-13,219.11
2018-07-16,220.12
2018-07-17,218.79
2018-07-18,217.9
2018-07-19,218.82
2018-07-20,217.29
2018-07-23,214.57
2018-07-24,217.43
