pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-29,2324,仁寶電腦工業股份有限公司,TWSE,36.7,-0.2164,0.752,0.0,248
2026-05-29,2364,倫飛電腦實業股份有限公司,TWSE,68.4,-0.2179,0.242,-0.2464,249
2026-05-29,6411,晶焱科技股份有限公司,OTC,110.0,-0.2191,0.845,-0.009,250
2026-05-29,2357,華碩電腦股份有限公司,TWSE,715.34,-0.2319,0.751,0.0,251
2026-05-29,6698,旭暉應用材料股份有限公司,TWSE,37.65,-0.2348,0.734,-0.0516,252
2026-05-29,1733,五鼎生物技術股份有限公司,TWSE,28.6,-0.2472,0.208,-0.2027,253
2026-05-29,2425,承啟科技股份有限公司,TWSE,35.52,-0.2474,0.762,-0.0761,254
2026-05-29,4974,亞泰影像科技股份有限公司,OTC,74.02,-0.2507,0.419,-0.1883,255
2026-05-29,3257,虹冠電子工業股份有限公司,TWSE,68.8,-0.2593,0.669,-0.0755,256
2026-05-29,2459,敦吉科技股份有限公司,TWSE,62.99,-0.2659,0.265,-0.019,257
2026-05-29,6414,樺漢科技股份有限公司,TWSE,347.47,-0.2685,0.701,-0.0083,258
2026-05-29,2739,寒舍餐旅管理顧問股份有限公司,TWSE,35.05,-0.2721,0.242,-0.1481,259
2026-05-29,8249,菱光科技股份有限公司,TWSE,53.54,-0.2728,0.509,-0.1308,260
2026-05-29,2546,根基營造股份有限公司,TWSE,87.6,-0.2739,0.236,-0.0611,261
2026-05-29,2008,高興昌鋼鐵股份有限公司,TWSE,28.85,-0.2742,0.293,-0.0415,262
2026-05-29,2477,美隆工業股份有限公司,TWSE,21.55,-0.2875,0.277,-0.1597,263
2026-05-29,6667,信紘科技股份有限公司,OTC,275.5,-0.2888,0.666,-0.0465,264
2026-05-29,1777,生泰合成工業股份有限公司,OTC,71.7,-0.2914,0.115,-0.1497,265
2026-05-29,6776,展碁國際股份有限公司,TWSE,55.46,-0.2988,0.634,-0.2041,266
2026-05-29,6690,安碁資訊股份有限公司,OTC,161.66,-0.3037,0.321,-0.0907,267
2026-05-29,6214,精誠資訊股份有限公司,TWSE,125.43,-0.3153,0.479,-0.0332,268
2026-05-29,8044,網路家庭國際資訊股份有限公司,OTC,29.0,-0.317,0.308,-0.2204,269
2026-05-29,4536,拓凱實業股份有限公司,TWSE,160.5,-0.3229,0.256,-0.1769,270
2026-05-29,3646,艾恩特精密工業股份有限公司,OTC,23.8,-0.3237,0.058,-0.1932,271
2026-05-29,2618,長榮航空股份有限公司,TWSE,34.35,-0.3374,0.467,-0.101,272
2026-05-29,6835,圓裕企業股份有限公司,TWSE,37.98,-0.3414,0.338,-0.2077,273
2026-05-29,3050,鈺德科技股份有限公司,TWSE,12.55,-0.3421,0.578,-0.1797,274
2026-05-29,3687,茂為歐買尬數位科技股份有限公司,OTC,73.9,-0.3525,0.232,-0.1306,275
2026-05-29,3570,大塚資訊科技股份有限公司,OTC,163.94,-0.3567,0.323,-0.1874,276
2026-05-29,6561,是方電訊股份有限公司,OTC,351.29,-0.3636,0.37,-0.199,277
2026-05-29,5309,系統電子工業股份有限公司,OTC,68.56,-0.3649,0.775,-0.0775,278
2026-05-29,6204,台灣艾華電子工業股份有限公司,OTC,93.0,-0.3651,0.762,0.0,279
2026-05-29,8112,至上電子股份有限公司,TWSE,84.98,-0.368,0.972,-0.0634,280
2026-05-29,1464,得力實業股份有限公司,TWSE,10.2,-0.3682,0.212,-0.1826,281
2026-05-29,3597,映興電子股份有限公司,OTC,27.62,-0.3792,0.498,-0.1858,282
2026-05-29,2362,藍天電腦股份有限公司,TWSE,42.14,-0.3975,0.561,-0.0583,283
2026-05-29,5607,遠雄自貿港投資控股股份有限公司,TWSE,50.3,-0.4005,0.529,-0.0969,284
2026-05-29,4549,桓達科技股份有限公司,OTC,124.5,-0.4011,0.533,-0.1384,285
2026-05-29,4935,茂林光電科技(開曼)股份有限公司,TWSE,39.84,-0.4032,0.41,-0.1996,286
2026-05-29,2352,佳世達科技股份有限公司,TWSE,28.9,-0.4074,0.532,-0.2443,287
2026-05-29,9935,慶豐富實業股份有限公司,TWSE,17.84,-0.4114,0.261,-0.1562,288
2026-05-29,6160,欣技資訊股份有限公司,OTC,17.35,-0.4144,0.396,-0.2961,289
2026-05-29,1540,喬福機械工業股份有限公司,TWSE,21.2,-0.4213,0.408,-0.2763,290
2026-05-29,1319,東陽實業廠股份有限公司,TWSE,90.31,-0.4231,0.446,-0.2221,291
2026-05-29,2645,長榮航太科技股份有限公司,TWSE,166.5,-0.4354,0.674,-0.1778,292
2026-05-29,3293,鈊象電子股份有限公司,OTC,718.75,-0.4389,0.352,-0.1265,293
2026-05-29,3558,神準科技股份有限公司,OTC,144.0,-0.4442,0.629,-0.1921,294
2026-05-29,2332,友訊科技股份有限公司,TWSE,16.95,-0.4527,0.676,-0.0661,295
2026-05-29,2405,輔信科技股份有限公司,TWSE,17.55,-0.4641,0.585,-0.1153,296
2026-05-29,7805,威聯通科技股份有限公司,OTC,797.0,-0.4647,0.735,-0.0612,297
2026-05-29,3005,神基控股股份有限公司,TWSE,104.0,-0.4775,0.298,-0.3341,298
2026-05-29,2610,中華航空股份有限公司,TWSE,19.1,-0.4785,0.449,-0.1678,299
2026-05-29,3694,海華科技股份有限公司,TWSE,69.5,-0.4858,0.693,-0.3317,300
2026-05-29,6279,胡連精密股份有限公司,OTC,122.5,-0.4896,0.415,-0.1187,301
2026-05-29,2731,雄獅旅行社股份有限公司,TWSE,155.03,-0.4914,0.355,-0.0897,302
2026-05-29,6176,瑞儀光電股份有限公司,TWSE,103.0,-0.4959,0.346,-0.2926,303
2026-05-29,2365,昆盈企業股份有限公司,TWSE,38.7,-0.5101,0.847,-0.2352,304
2026-05-29,4953,緯致科技股份有限公司,OTC,117.46,-0.5114,0.411,-0.1058,305
2026-05-29,1539,巨庭機械股份有限公司,TWSE,16.55,-0.5196,0.482,-0.232,306
2026-05-29,3617,碩天科技股份有限公司,TWSE,211.5,-0.5231,0.628,-0.2293,307
2026-05-29,3032,偉訓科技股份有限公司,TWSE,90.5,-0.5242,0.748,-0.2242,308
2026-05-29,8440,綠電再生股份有限公司,OTC,23.24,-0.5338,0.454,-0.2922,309
2026-05-29,2397,友通資訊股份有限公司,TWSE,60.8,-0.5541,0.593,-0.234,310
2026-05-29,3290,東浦精密光電股份有限公司,OTC,47.47,-0.5571,0.765,-0.0546,311
2026-05-29,2949,欣新網股份有限公司,OTC,63.5,-0.5613,0.327,-0.143,312
2026-05-29,6811,宏碁資訊服務股份有限公司,OTC,204.97,-0.5627,0.528,-0.1825,313
2026-05-29,3492,長盛科技股份有限公司,OTC,23.8,-0.5792,0.44,-0.162,314
2026-05-29,3231,緯創資通股份有限公司,TWSE,152.89,-0.5913,0.833,0.0,315
2026-05-29,2328,廣宇科技股份有限公司,TWSE,54.48,-0.5961,0.958,-0.1048,316
2026-05-29,4585,達明機器人股份有限公司,TWSE,350.5,-0.6028,0.998,-0.5601,317
